00:03:15.473 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - maven
00:03:15.478 [ApplicationImpl pooled thread 45] INFO  com.browserstack.utils.Helpers - null
23:21:36.561 [ApplicationImpl pooled thread 200] INFO  c.b.l.BrowserStackRunExtension - testng
23:21:36.578 [ApplicationImpl pooled thread 200] INFO  com.browserstack.utils.Helpers - null
23:21:36.578 [ApplicationImpl pooled thread 200] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:25:08.282 [ApplicationImpl pooled thread 215] INFO  c.b.l.BrowserStackRunExtension - testng
23:25:08.282 [ApplicationImpl pooled thread 215] INFO  com.browserstack.utils.Helpers - null
23:25:08.282 [ApplicationImpl pooled thread 215] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:25:42.726 [ApplicationImpl pooled thread 218] INFO  c.b.l.BrowserStackRunExtension - testng
23:25:42.726 [ApplicationImpl pooled thread 218] INFO  com.browserstack.utils.Helpers - null
23:25:42.726 [ApplicationImpl pooled thread 218] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:28:03.902 [ApplicationImpl pooled thread 220] INFO  c.b.l.BrowserStackRunExtension - testng
23:28:03.902 [ApplicationImpl pooled thread 220] INFO  com.browserstack.utils.Helpers - null
23:28:03.902 [ApplicationImpl pooled thread 220] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:34:46.672 [ApplicationImpl pooled thread 226] INFO  c.b.l.BrowserStackRunExtension - testng
23:34:46.672 [ApplicationImpl pooled thread 226] INFO  com.browserstack.utils.Helpers - null
23:34:46.672 [ApplicationImpl pooled thread 226] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:35:53.664 [ApplicationImpl pooled thread 256] INFO  c.b.l.BrowserStackRunExtension - testng
23:35:53.664 [ApplicationImpl pooled thread 256] INFO  com.browserstack.utils.Helpers - null
23:35:53.664 [ApplicationImpl pooled thread 256] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:37:17.504 [ApplicationImpl pooled thread 257] INFO  c.b.l.BrowserStackRunExtension - testng
23:37:17.504 [ApplicationImpl pooled thread 257] INFO  com.browserstack.utils.Helpers - null
23:37:17.504 [ApplicationImpl pooled thread 257] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:39:59.859 [ApplicationImpl pooled thread 261] INFO  c.b.l.BrowserStackRunExtension - testng
23:39:59.859 [ApplicationImpl pooled thread 261] INFO  com.browserstack.utils.Helpers - null
23:39:59.859 [ApplicationImpl pooled thread 261] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:55:02.223 [ApplicationImpl pooled thread 334] INFO  c.b.l.BrowserStackRunExtension - testng
23:55:02.223 [ApplicationImpl pooled thread 334] INFO  com.browserstack.utils.Helpers - null
23:55:02.223 [ApplicationImpl pooled thread 334] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:56:04.277 [ApplicationImpl pooled thread 324] INFO  c.b.l.BrowserStackRunExtension - testng
23:56:04.277 [ApplicationImpl pooled thread 324] INFO  com.browserstack.utils.Helpers - null
23:56:04.277 [ApplicationImpl pooled thread 324] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:57:41.167 [ApplicationImpl pooled thread 337] INFO  c.b.l.BrowserStackRunExtension - testng
23:57:41.167 [ApplicationImpl pooled thread 337] INFO  com.browserstack.utils.Helpers - null
23:57:41.167 [ApplicationImpl pooled thread 337] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
